--WKuD_46Fk,270.000,280.000,Accordion
-1qyr-IzqKY,60.000,70.000,Accordion
-3kt0GobDIM,70.000,80.000,Accordion
-5jfg4fqELw,40.000,50.000,Accordion
-6BlMu-Mxvo,30.000,40.000,Accordion
-7YyZ7fyZvo,20.000,30.000,Accordion
-8NloAFSlwQ,190.000,200.000,Saxophone,Accordion
-8vFWXOCKEo,30.000,40.000,Accordion
-B9wAxd_V1Y,80.000,90.000,Accordion
-Dqi6nNtnWI,60.000,70.000,Accordion
-DyUk5OFUJ0,0.000,10.000,Accordion
-F53UmpWFVI,10.000,20.000,Accordion
-Ffly0FLhNo,30.000,40.000,Accordion
-G-8K7mputA,30.000,40.000,Accordion
-G5JuwEUxjM,30.000,40.000,Accordion
-JUlvboQz9A,270.000,280.000,Accordion
-JpJNiGN5YU,60.000,70.000,Accordion
-JsTYCfV9YI,190.000,200.000,Accordion
-JsikDzLCCM,170.000,180.000,Accordion
-KTh-902ahg,270.000,280.000,Accordion
-KWCA1xtWMw,30.000,40.000,Accordion
-LnO0gwFvTU,30.000,40.000,Accordion
-P2pM7Iz1aw,30.000,40.000,Accordion
-QM0Y0v8F7A,30.000,40.000,Accordion
-QWW4GPZYuU,30.000,40.000,Accordion
-SZ9Iae3KZc,280.000,290.000,Piano,Accordion
-SdAy1I4yMA,160.000,170.000,Accordion
-T8KHGUbjFY,80.000,90.000,Accordion
-TUw3e4RPdg,30.000,40.000,Accordion
-_zSXLKUEIM,30.000,40.000,Accordion
-e-68LOpw8k,160.000,170.000,Accordion
-g4i39nadkQ,60.000,70.000,Accordion
-gA3tRy3rVE,80.000,90.000,Accordion
-iiS6mvkJ98,330.000,340.000,Accordion
-myDBBsgl8Q,80.000,90.000,Accordion
-uC-9agJePc,30.000,40.000,Accordion
-wJ_UfBsiR0,280.000,290.000,Accordion
-xIJLZ2MAxY,60.000,70.000,Accordion
-yqNkR4S4F0,590.000,600.000,Accordion
00ciyncquvk,60.000,70.000,Accordion
02gYcWjr6m0,0.000,10.000,Accordion
02tQ5sCp3sY,30.000,40.000,Accordion
03itl3k8gr0,110.000,120.000,Accordion
04YSNvLgZU8,10.000,20.000,Accordion
04iE2o1tI8A,400.000,410.000,Accordion
04z75h6a320,70.000,80.000,Accordion
052IeR23SLY,160.000,170.000,Accordion
05NnIDWrYT4,80.000,90.000,Accordion
09C0k_WRvBs,150.000,160.000,Guitar,Accordion
09o2OwlUCGI,200.000,210.000,Accordion
0A-Y2CvbVMs,30.000,40.000,Accordion
0AHmq7QIw84,470.000,480.000,Accordion
0AcaYTOIa70,30.000,40.000,Accordion
0EFNlHiFGmM,60.000,70.000,Accordion
0FA_XUfoJ_0,550.000,560.000,Accordion
0JOob7gSvns,140.000,150.000,Accordion
0MGt-DTRk64,30.000,40.000,Accordion
0MOYakgpt0Q,70.000,80.000,Accordion
0N4aDYt8vmI,150.000,160.000,Violin,Accordion
0OtOrR70M1A,30.000,40.000,Accordion
0Pk3d8Qn6p4,60.000,70.000,Accordion
0QUdpLe4WXI,300.000,310.000,Accordion
0QkQ6rmXaoE,130.000,140.000,Accordion
0SV-etQ_NhQ,30.000,40.000,Accordion
0TzeYKyVxew,270.000,280.000,Singing,Accordion
0VZh_SzytsY,20.000,30.000,Accordion
0WMRsztTttc,60.000,70.000,Accordion
0WoZeAMSMvU,40.000,50.000,Accordion
0XGHiumhpJk,130.000,140.000,Singing,Accordion
0Y1JH8PdHAA,80.000,90.000,Saxophone,Accordion
0_VPiKZkIck,150.000,160.000,Accordion
0_kxPJ3Dnt0,240.000,250.000,Accordion
0_wopBSgNhc,30.000,40.000,Accordion
0gdMrriLgq8,30.000,40.000,Accordion
0jAkSpqFe4s,40.000,50.000,Accordion
0jInA3DyU5g,50.000,60.000,Accordion
0or_HnwmGCQ,250.000,260.000,Accordion
0py8-5vgb4E,210.000,220.000,Accordion
0rA7Sr4WfEU,60.000,70.000,Accordion
0v6guMGfNSo,30.000,40.000,Accordion
0woZIMV4oUY,20.000,30.000,Accordion
0z4bWxgJPE0,210.000,220.000,Singing,Accordion
0zlyBNNnMPQ,20.000,30.000,Accordion
1-oHRmh1WW0,30.000,40.000,Accordion
102AA0bK0MM,40.000,50.000,Violin,Accordion
11k9cuOKQp4,60.000,70.000,Accordion
120GV2XLt24,30.000,40.000,Accordion
12oeAh4LY5M,310.000,320.000,Accordion
